# Sao Paulo Mirante (A701), -23.496289, -46.620067, 785.64 m
# date,°C,%,hPa,mm,m/s,degree
date,tc,rh,pr,rr,ws,wd
2024-08-10 09:00:00-03:00,10.3,90.0,929.4,0.4,1.4,216.0
2024-08-10 10:00:00-03:00,10.4,89.0,929.9,1.6,2.4,218.0
2024-08-10 11:00:00-03:00,10.5,89.0,930.2,0.2,1.0,238.0
2024-08-10 12:00:00-03:00,11.3,84.0,929.7,0.2,1.6,218.0
2024-08-10 13:00:00-03:00,11.5,78.0,929.0,0.0,1.4,201.0
2024-08-10 14:00:00-03:00,13.0,72.0,928.4,0.0,0.4,157.0
2024-08-10 15:00:00-03:00,12.8,70.0,928.2,0.0,1.4,173.0
2024-08-10 16:00:00-03:00,13.5,66.0,928.3,0.0,0.7,117.0
2024-08-10 17:00:00-03:00,13.2,64.0,928.6,0.0,0.7,95.0
2024-08-10 18:00:00-03:00,11.7,75.0,928.8,0.0,0.0,187.0
2024-08-10 19:00:00-03:00,11.1,79.0,929.7,0.0,0.2,183.0
2024-08-10 20:00:00-03:00,10.4,82.0,930.0,0.0,1.1,144.0
2024-08-10 21:00:00-03:00,9.9,84.0,930.3,0.0,0.0,162.0
2024-08-10 22:00:00-03:00,9.9,83.0,930.3,0.0,0.0,119.0
2024-08-10 23:00:00-03:00,9.4,85.0,930.5,0.0,0.0,71.0
2024-08-11 00:00:00-03:00,8.9,87.0,930.3,0.0,0.9,87.0
2024-08-11 01:00:00-03:00,8.3,90.0,929.9,0.0,1.1,123.0
2024-08-11 02:00:00-03:00,8.2,91.0,929.1,0.0,0.0,47.0
2024-08-11 03:00:00-03:00,7.9,92.0,928.8,0.0,0.0,121.0
2024-08-11 04:00:00-03:00,7.4,92.0,928.5,0.0,0.0,277.0
2024-08-11 05:00:00-03:00,7.8,92.0,928.8,0.0,0.0,145.0
2024-08-11 06:00:00-03:00,7.6,91.0,929.5,0.0,0.8,59.0
2024-08-11 07:00:00-03:00,7.1,89.0,930.1,0.0,0.0,116.0
2024-08-11 08:00:00-03:00,8.6,85.0,930.6,0.0,0.0,122.0
2024-08-11 09:00:00-03:00,11.1,75.0,930.6,0.0,0.9,113.0
2024-08-11 10:00:00-03:00,12.2,60.0,930.3,0.0,1.6,100.0
2024-08-11 11:00:00-03:00,14.9,45.0,929.8,0.0,1.8,116.0
2024-08-11 12:00:00-03:00,17.5,39.0,929.0,0.0,1.2,114.0
2024-08-11 13:00:00-03:00,19.2,35.0,927.5,0.0,1.6,61.0
2024-08-11 14:00:00-03:00,20.5,31.0,926.6,0.0,1.6,354.0
2024-08-11 15:00:00-03:00,20.4,26.0,926.7,0.0,2.2,306.0
2024-08-11 16:00:00-03:00,19.8,29.0,926.8,0.0,2.2,328.0
2024-08-11 17:00:00-03:00,18.7,33.0,927.3,0.0,1.8,324.0
2024-08-11 18:00:00-03:00,17.2,39.0,927.5,0.0,1.8,338.0
2024-08-11 19:00:00-03:00,16.2,43.0,927.7,0.0,2.6,339.0
2024-08-11 20:00:00-03:00,15.5,41.0,927.7,0.0,1.5,351.0
2024-08-11 21:00:00-03:00,14.8,43.0,927.9,0.0,0.0,35.0
2024-08-11 22:00:00-03:00,14.7,45.0,928.1,0.0,2.1,7.0
2024-08-11 23:00:00-03:00,13.9,49.0,928.3,0.0,0.1,68.0
2024-08-12 00:00:00-03:00,12.7,54.0,928.1,0.0,0.0,222.0
2024-08-12 01:00:00-03:00,14.0,48.0,928.1,0.0,2.5,324.0
2024-08-12 02:00:00-03:00,13.9,48.0,927.9,0.0,2.7,340.0
2024-08-12 03:00:00-03:00,13.0,52.0,927.9,0.0,1.4,318.0
2024-08-12 04:00:00-03:00,13.2,50.0,927.4,0.0,3.4,341.0
2024-08-12 05:00:00-03:00,12.9,50.0,927.4,0.0,2.6,333.0
2024-08-12 06:00:00-03:00,12.6,49.0,927.9,0.0,2.3,337.0
2024-08-12 07:00:00-03:00,11.6,55.0,928.7,0.0,1.5,312.0
2024-08-12 08:00:00-03:00,12.6,53.0,929.0,0.0,2.1,324.0
2024-08-12 09:00:00-03:00,13.7,47.0,929.4,0.0,3.8,340.0
2024-08-12 10:00:00-03:00,14.8,39.0,929.5,0.0,2.9,335.0
2024-08-12 11:00:00-03:00,16.1,37.0,929.3,0.0,3.5,318.0
2024-08-12 12:00:00-03:00,17.5,30.0,929.0,0.0,3.1,318.0
2024-08-12 13:00:00-03:00,18.6,27.0,928.3,0.0,4.0,348.0
2024-08-12 14:00:00-03:00,18.8,26.0,927.8,0.0,5.1,334.0
2024-08-12 15:00:00-03:00,19.2,23.0,927.8,0.0,4.3,316.0
2024-08-12 16:00:00-03:00,19.0,26.0,928.2,0.0,3.5,330.0
2024-08-12 17:00:00-03:00,18.3,27.0,928.2,0.0,3.0,331.0
2024-08-12 18:00:00-03:00,13.9,55.0,929.0,0.0,1.6,183.0
2024-08-12 19:00:00-03:00,13.0,54.0,929.9,0.0,0.0,186.0
2024-08-12 20:00:00-03:00,12.4,54.0,930.7,0.0,1.1,209.0
2024-08-12 21:00:00-03:00,11.9,53.0,931.4,0.0,1.5,138.0
2024-08-12 22:00:00-03:00,11.2,53.0,931.7,0.0,1.9,158.0
2024-08-12 23:00:00-03:00,10.7,60.0,931.9,0.0,0.0,137.0
2024-08-13 00:00:00-03:00,10.3,65.0,931.7,0.0,1.5,140.0
2024-08-13 01:00:00-03:00,9.8,66.0,931.5,0.0,1.0,134.0
2024-08-13 02:00:00-03:00,9.5,69.0,931.3,0.0,1.6,146.0
2024-08-13 03:00:00-03:00,9.3,71.0,931.6,0.0,0.8,163.0
2024-08-13 04:00:00-03:00,8.9,73.0,931.6,0.0,0.6,145.0
2024-08-13 05:00:00-03:00,9.0,76.0,931.9,0.0,0.0,148.0
2024-08-13 06:00:00-03:00,9.2,74.0,932.5,0.0,1.6,152.0
2024-08-13 07:00:00-03:00,9.4,74.0,933.0,0.0,1.4,119.0
2024-08-13 08:00:00-03:00,10.1,72.0,933.8,0.0,2.0,160.0
2024-08-13 09:00:00-03:00,11.0,68.0,934.5,0.0,2.0,175.0
2024-08-13 10:00:00-03:00,11.3,67.0,935.2,0.0,2.1,162.0
2024-08-13 11:00:00-03:00,13.2,60.0,935.0,0.0,2.0,147.0
2024-08-13 12:00:00-03:00,13.8,54.0,934.5,0.0,2.4,186.0
2024-08-13 13:00:00-03:00,14.8,50.0,933.8,0.0,2.6,171.0
2024-08-13 14:00:00-03:00,15.3,50.0,933.0,0.0,2.7,155.0
2024-08-13 15:00:00-03:00,12.8,60.0,932.8,0.0,2.7,200.0
2024-08-13 16:00:00-03:00,12.3,62.0,933.1,0.0,2.9,194.0
2024-08-13 17:00:00-03:00,11.4,64.0,933.0,0.0,1.8,184.0
2024-08-13 18:00:00-03:00,10.0,70.0,933.2,0.0,1.7,199.0
2024-08-13 19:00:00-03:00,9.5,74.0,933.6,0.0,1.0,190.0
2024-08-13 20:00:00-03:00,9.4,76.0,934.0,0.0,1.6,170.0
2024-08-13 21:00:00-03:00,9.1,77.0,934.3,0.0,1.5,167.0
2024-08-13 22:00:00-03:00,8.9,78.0,934.2,0.0,1.5,150.0
2024-08-13 23:00:00-03:00,8.9,79.0,934.1,0.0,2.6,154.0
2024-08-14 00:00:00-03:00,9.2,79.0,933.6,0.0,2.5,155.0
2024-08-14 01:00:00-03:00,9.4,79.0,933.2,0.0,2.8,147.0
