Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,PBLH,WSPD10,WDIR10
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,K,m,m s-1,deg
701,28,35,-46.62007,-23.49629,2024-09-04,09:00:00,37.0830,297.754,212.303,4.34410,65.7134
701,28,35,-46.62007,-23.49629,2024-09-04,10:00:00,27.1242,300.613,442.287,4.80436,63.6216
701,28,35,-46.62007,-23.49629,2024-09-04,11:00:00,21.8436,302.434,794.893,5.19634,61.0027
701,28,35,-46.62007,-23.49629,2024-09-04,12:00:00,19.4923,303.377,1377.65,4.75329,58.4399
701,28,35,-46.62007,-23.49629,2024-09-04,13:00:00,17.4959,304.024,2321.45,4.15065,52.1720
701,28,35,-46.62007,-23.49629,2024-09-04,14:00:00,16.2925,304.434,2574.90,3.44229,48.3099
701,28,35,-46.62007,-23.49629,2024-09-04,15:00:00,16.3840,304.687,2521.53,2.93918,33.0717
701,28,35,-46.62007,-23.49629,2024-09-04,16:00:00,16.8209,304.763,2490.40,2.81940,31.0836
701,28,35,-46.62007,-23.49629,2024-09-04,17:00:00,24.0439,304.567,1744.25,3.32433,43.6147
701,28,35,-46.62007,-23.49629,2024-09-04,18:00:00,29.7247,302.355,489.868,5.43576,88.4379
701,28,35,-46.62007,-23.49629,2024-09-04,19:00:00,31.2854,300.951,324.646,4.76791,69.8276
701,28,35,-46.62007,-23.49629,2024-09-04,20:00:00,39.1432,298.983,265.122,4.35523,60.6863
701,28,35,-46.62007,-23.49629,2024-09-04,21:00:00,44.5176,297.886,448.687,5.81559,58.0511
701,28,35,-46.62007,-23.49629,2024-09-04,22:00:00,46.1489,297.415,403.901,6.64926,58.5754
701,28,35,-46.62007,-23.49629,2024-09-04,23:00:00,47.2296,296.666,317.054,5.84730,56.4901
701,28,35,-46.62007,-23.49629,2024-09-05,00:00:00,47.2620,296.058,257.281,5.39549,57.0266
701,28,35,-46.62007,-23.49629,2024-09-05,01:00:00,46.4993,295.738,241.017,4.85282,59.1570
701,28,35,-46.62007,-23.49629,2024-09-05,02:00:00,45.5299,295.298,198.325,2.93666,64.1440
701,28,35,-46.62007,-23.49629,2024-09-05,03:00:00,43.7397,295.166,225.264,2.92644,65.4912
701,28,35,-46.62007,-23.49629,2024-09-05,04:00:00,41.9740,295.243,248.790,3.04480,62.6432
701,28,35,-46.62007,-23.49629,2024-09-05,05:00:00,41.6539,295.182,283.812,2.77010,66.6064
701,28,35,-46.62007,-23.49629,2024-09-05,06:00:00,41.5307,294.776,282.074,2.67916,83.8589
701,28,35,-46.62007,-23.49629,2024-09-05,07:00:00,36.5322,295.781,333.384,2.45457,63.6887
701,28,35,-46.62007,-23.49629,2024-09-05,08:00:00,30.9887,300.207,194.830,5.65388,4.15082
701,28,35,-46.62007,-23.49629,2024-09-05,09:00:00,28.2426,301.911,322.768,7.33083,350.222
701,28,35,-46.62007,-23.49629,2024-09-05,10:00:00,39.4880,303.307,687.181,5.15704,329.805
701,28,35,-46.62007,-23.49629,2024-09-05,11:00:00,58.2437,298.701,387.481,6.71158,173.758
701,28,35,-46.62007,-23.49629,2024-09-05,12:00:00,63.3474,297.194,521.187,6.12885,176.717
701,28,35,-46.62007,-23.49629,2024-09-05,13:00:00,64.6754,296.706,538.354,5.82006,172.780
701,28,35,-46.62007,-23.49629,2024-09-05,14:00:00,66.3381,296.268,588.169,5.78314,168.218
701,28,35,-46.62007,-23.49629,2024-09-05,15:00:00,68.5210,295.770,598.528,5.84153,169.121
701,28,35,-46.62007,-23.49629,2024-09-05,16:00:00,71.8323,294.788,563.642,5.85757,165.822
701,28,35,-46.62007,-23.49629,2024-09-05,17:00:00,77.5466,293.176,560.428,5.65044,162.078
701,28,35,-46.62007,-23.49629,2024-09-05,18:00:00,84.0491,291.109,517.779,5.34668,165.855
701,28,35,-46.62007,-23.49629,2024-09-05,19:00:00,87.3608,289.769,430.171,4.90882,169.835
701,28,35,-46.62007,-23.49629,2024-09-05,20:00:00,87.8481,289.268,379.318,4.49870,178.830
701,28,35,-46.62007,-23.49629,2024-09-05,21:00:00,88.6172,289.011,358.900,4.41801,181.385
