Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202408.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,O3_UGM3,NO_UGM3,NO2_UGM3,NH3_UGM3,CO,SO2_UGM3,TOL_UGM3,PM10,PM25_TOT,N10,N20,N40,N100
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,ug m-3,ug m-3,ug m-3,ug m-3,ppbV,ug m-3,ug m-3,ug m-3,ug m-3,cm-3,cm-3,cm-3,cm-3
95,24,33,-46.73742,-23.56634,2024-08-28,12:00:00,39.7513,38.8849,59.7791,7.37933,779.999,1.63201,11.3994,30.3258,19.5214,12806.9,10682.9,5949.46,1580.79
95,24,33,-46.73742,-23.56634,2024-08-28,13:00:00,46.8081,31.4985,62.4361,7.57100,760.919,1.62335,10.7803,32.6432,19.6943,12013.6,9566.05,5187.33,1479.44
95,24,33,-46.73742,-23.56634,2024-08-28,14:00:00,48.1547,29.5850,69.5903,7.51557,797.160,1.99909,11.3660,33.2289,24.1406,12788.4,10501.8,6297.12,1928.42
95,24,33,-46.73742,-23.56634,2024-08-28,15:00:00,38.0194,28.7481,65.2266,6.68257,713.034,2.03080,10.5364,25.2082,21.0715,12274.8,10764.4,6987.23,2099.93
95,24,33,-46.73742,-23.56634,2024-08-28,16:00:00,25.2859,24.3855,59.2920,6.69138,598.349,1.91119,8.93298,16.2823,13.4457,10624.7,9659.52,6209.17,1595.61
95,24,33,-46.73742,-23.56634,2024-08-28,17:00:00,6.87254,20.8825,63.2335,6.77900,555.436,1.82587,8.43401,11.4121,9.19754,9998.55,9153.58,5340.28,1118.78
95,24,33,-46.73742,-23.56634,2024-08-28,18:00:00,0.706496,21.2885,63.3633,6.22394,535.632,1.43691,8.20731,8.79580,7.17739,9624.52,8607.71,4408.27,840.192
95,24,33,-46.73742,-23.56634,2024-08-28,19:00:00,0.665879,22.2419,61.1149,6.91617,517.958,1.11950,7.82745,8.45373,6.88797,9198.51,8059.89,4105.44,817.994
95,24,33,-46.73742,-23.56634,2024-08-28,20:00:00,0.388501,21.5570,59.2160,7.69883,480.423,1.10515,7.13059,8.23157,6.60539,8811.31,7798.46,4103.00,823.261
95,24,33,-46.73742,-23.56634,2024-08-28,21:00:00,0.442987,21.6364,58.3943,8.52737,454.996,1.21252,6.75692,9.48114,7.14081,8834.87,8018.11,4558.09,951.825
